rank,title,rating,release_year
48,Wonder Woman 1984,2.08,2020
49,Smile 2,3.33,2024
50,After Hours,4.13,1985
51,The Fast and the Furious,3.37,2001
52,Burn After Reading,3.62,2008
53,The Twilight Saga: Breaking Dawn – Part 2,2.82,2012
54,The Fault in Our Stars,3.12,2014
55,Tropic Thunder,3.59,2008
56,Despicable Me 4,2.75,2024
57,Interview with the Vampire,3.58,1994
58,The King of Comedy,4.24,1982
59,Ad Astra,3.36,2019
60,Evil Dead II,4.02,1987
61,The Butterfly Effect,3.50,2004
62,Willy Wonka & the Chocolate Factory,3.81,1971
63,Gremlins,3.64,1984
64,Hamilton,4.19,2020
65,The Goonies,3.79,1985
66,High School Musical,3.20,2006
67,The Devil All the Time,3.30,2020
68,Monster,4.31,2023
69,Kung Fu Panda 2,3.71,2011
70,Melancholia,3.84,2011
71,The 40 Year Old Virgin,3.32,2005
72,Videodrome,3.88,1983
1,This Is the End,3.16,2013
2,Transformers,3.17,2007
3,The House That Jack Built,3.62,2018
4,The Twilight Saga: Breaking Dawn – Part 1,2.60,2011
5,Scream 3,2.84,2000
6,X2,3.43,2003
7,Friday the 13th,3.00,1980
8,Maleficent,3.21,2014
9,Death Proof,3.57,2007
10,We're the Millers,3.26,2013
11,Project X,3.25,2012
12,Grown Ups,3.07,2010
13,Sunset Boulevard,4.44,1950
14,Minority Report,3.76,2002
15,Pacific Rim,3.39,2013
16,The Marvels,2.60,2023
17,Burning,4.05,2018
18,Glass,2.91,2019
19,The Tree of Life,3.86,2011
20,Clue,3.87,1985
21,Justice League,1.94,2017
22,"Synecdoche, New York",4.18,2008
23,Jurassic World: Fallen Kingdom,2.60,2018
24,The Fifth Element,3.76,1997
25,It Ends with Us,2.56,2024
26,The Terminal,3.61,2004
27,RRR,4.20,2022
28,Judas and the Black Messiah,4.03,2021
29,The Purge,2.71,2013
30,Predator,3.78,1987
31,Les Misérables,3.59,2012
32,Happy Death Day,3.01,2017
33,The Disaster Artist,3.56,2017
34,Monster House,3.39,2006
35,Raya and the Last Dragon,3.26,2021
36,Jurassic World Dominion,2.22,2022
37,Lawrence of Arabia,4.37,1962
38,Nimona,3.95,2023
39,The Birds,3.75,1963
40,Megalopolis,2.37,2024
41,Nausicaä of the Valley of the Wind,4.16,1984
42,"O Brother, Where Art Thou?",3.95,2000
43,Murder on the Orient Express,3.08,2017
44,Cloudy with a Chance of Meatballs,3.36,2009
45,Woman of the Hour,3.20,2023
46,Unbreakable,3.68,2000
47,The Place Beyond the Pines,3.78,2012
48,The Elephant Man,4.24,1980
49,Bee Movie,2.91,2007
50,Klaus,4.13,2019
51,Alien: Covenant,3.03,2017
52,"Love, Rosie",3.63,2014
53,The Trial of the Chicago 7,3.75,2020
54,Pokémon Detective Pikachu,3.04,2019
55,Kong: Skull Island,3.08,2017
56,Captain Fantastic,3.93,2016
57,Godzilla × Kong: The New Empire,2.71,2024
58,Collateral,3.86,2004
59,Ralph Breaks the Internet,2.90,2018
60,Whisper of the Heart,4.16,1995
61,Despicable Me 2,3.17,2013
62,Spectre,3.17,2015
63,Sweeney Todd: The Demon Barber of Fleet Street,3.51,2007
64,Shoplifters,4.30,2018
65,The Apartment,4.44,1960
66,Porco Rosso,3.99,1992
67,The Others,3.76,2001
68,Ghost in the Shell,4.09,1995
69,Aladdin,2.97,2019
70,District 9,3.81,2009
71,Fantastic Beasts: The Crimes of Grindelwald,2.59,2018
72,Enchanted,3.52,2007
1,Halloween,3.20,2018
2,Men,2.81,2022
3,Sherlock Holmes,3.45,2009
4,Signs,3.49,2002
5,It's What's Inside,3.48,2024
6,Harakiri,4.69,1962
7,The Lion King,2.80,2019
8,Fear and Loathing in Las Vegas,3.78,1998
9,Rain Man,3.88,1988
10,Abigail,3.10,2024
11,Twelve Monkeys,3.87,1995
12,The Gray Man,2.75,2022
13,Mommy,4.31,2014
14,8 Mile,3.59,2002
15,Gangs of New York,3.70,2002
16,Saw X,3.23,2023
17,The Skin I Live In,3.83,2011
18,Wicked,4.15,2024
19,Indiana Jones and the Kingdom of the Crystal Skull,2.71,2008
20,Hellraiser,3.53,1987
21,The King's Speech,3.79,2010
22,Step Brothers,3.45,2008
23,Batman Returns,3.57,1992
24,The Conjuring: The Devil Made Me Do It,2.74,2021
25,Over the Garden Wall,4.62,2014
26,The Addams Family,3.72,1991
27,Mission: Impossible – Rogue Nation,3.72,2015
28,I Care a Lot,3.12,2020
29,Black Adam,2.29,2022
30,Fear Street: 1978,3.42,2021
31,Chicago,3.93,2002
32,Lost Highway,4.06,1997
33,Looper,3.57,2012
34,X-Men Origins: Wolverine,2.42,2009
35,Nosferatu,3.88,1922
36,Metropolis,4.26,1927
37,8½,4.30,1963
38,300,3.36,2006
39,Final Destination,3.16,2000
40,When Evil Lurks,3.54,2023
41,Closer,3.40,2004
42,Green Room,3.65,2015
43,Creep,3.34,2014
44,Bridge to Terabithia,3.63,2007
45,Hugo,3.50,2011
46,Pig,3.76,2021
47,Funny Games,3.94,1997
48,Adaptation.,4.11,2002
49,Braveheart,3.88,1995
50,Training Day,3.99,2001
51,Don't Breathe,3.33,2016
52,Mission: Impossible – Ghost Protocol,3.72,2011
53,The Wolverine,2.98,2013
54,Argo,3.71,2012
55,Y Tu Mamá También,4.20,2001
56,Mandy,3.61,2018
57,Saw II,3.19,2005
58,The SpongeBob SquarePants Movie,3.89,2004
59,Tarzan,3.70,1999
60,Terrifier 2,2.73,2022
61,Click,2.86,2006
62,Orphan,3.28,2009
63,The Matrix Revolutions,3.08,2003
64,First Reformed,4.04,2017
65,Anchorman: The Legend of Ron Burgundy,3.50,2004
66,Cure,4.25,1997
67,X-Men: The Last Stand,2.63,2006
68,The Last Duel,3.73,2021
69,Borat Subsequent Moviefilm,3.28,2020
70,The Simpsons Movie,3.46,2007
71,Buffalo '66,3.84,1998
72,The Machinist,3.76,2004
1,Twin Peaks: Fire Walk with Me,4.21,1992
2,The Descent,3.59,2005
3,Pirates of the Caribbean: On Stranger Tides,2.83,2011
4,Submarine,3.84,2010
5,Hunt for the Wilderpeople,4.07,2016
6,My Own Private Idaho,3.87,1991
7,Yesterday,2.90,2019
8,The Godfather Part III,3.47,1990
9,Passengers,2.83,2016
10,Alice in Wonderland,3.76,1951
11,The Piano Teacher,4.09,2001
12,Hotel Transylvania,3.27,2012
13,The First Omen,3.38,2024
14,Totally Killer,3.12,2023
15,Labyrinth,3.71,1986
16,American Hustle,3.33,2013
17,Once Upon a Time in America,4.22,1984
18,Godzilla,3.06,2014
19,Under the Silver Lake,3.47,2018
20,Snow White and the Seven Dwarfs,3.43,1937
21,The Neon Demon,3.16,2016
22,Lightyear,2.83,2022
23,Death on the Nile,2.68,2022
24,The King,3.40,2019
25,The Hangover Part II,2.95,2011
26,Some Like It Hot,4.25,1959
27,Theater Camp,3.76,2023
28,Evil Dead,3.38,2013
29,The Bikeriders,3.38,2023
30,"As Above, So Below",3.20,2014
31,A Haunting in Venice,3.01,2023
32,"Are You There God? It's Me, Margaret.",3.79,2023
33,Annie Hall,4.04,1977
34,The World's End,3.62,2013
35,The Prince of Egypt,4.02,1998
36,Sonic the Hedgehog,2.86,2020
37,Loving Vincent,3.97,2017
38,[REC],3.68,2007
39,Paths of Glory,4.45,1957
40,Night of the Living Dead,3.96,1968
41,Sleepy Hollow,3.51,1999
42,RoboCop,3.92,1987
43,Coherence,3.75,2013
44,Minions,2.84,2015
45,20th Century Women,4.00,2016
46,Chicken Run,3.60,2000
47,Zombieland: Double Tap,3.01,2019
48,L.A. Confidential,4.07,1997
49,First Man,3.67,2018
50,Sing Street,4.03,2016
51,Who Framed Roger Rabbit,3.95,1988
52,The Lost World: Jurassic Park,3.10,1997
53,Suzume,3.83,2022
54,Enter the Void,3.76,2009
55,The Ballad of Buster Scruggs,3.65,2018
56,North by Northwest,4.19,1959
57,Million Dollar Baby,4.00,2004
58,Battle Royale,3.86,2000
59,The Adam Project,2.93,2022
60,Hush,3.22,2016
61,Mystic River,3.84,2003
62,The Fast and the Furious: Tokyo Drift,3.15,2006
63,Road House,2.63,2024
64,Audition,3.81,1999
65,Creed III,3.45,2023
66,Bolt,3.10,2008
67,Morbius,1.59,2022
68,Wonder,3.53,2017
69,How to Train Your Dragon: The Hidden World,3.67,2019
70,Pirates of the Caribbean: Dead Men Tell No Tales,2.66,2017
71,You Were Never Really Here,3.69,2017
72,Ocean's Twelve,3.31,2004
1,The Love Witch,3.50,2016
2,Speak No Evil,3.29,2024
3,The Interview,2.98,2014
4,American Sniper,3.33,2014
5,The Mist,3.43,2007
6,The Ring,3.33,2002
7,Sausage Party,2.27,2016
8,Crimson Peak,3.37,2015
9,Chef,3.69,2014
10,Yi Yi,4.54,2000
11,Now You See Me 2,2.97,2016
12,Fantastic Planet,4.02,1973
13,Friends with Benefits,2.93,2011
14,Poltergeist,3.51,1982
15,Shrek Forever After,2.89,2010
16,The Guilty,2.89,2021
17,Where the Crawdads Sing,3.24,2022
18,Solaris,4.24,1972
19,Spring Breakers,2.78,2012
20,Moon Knight,3.57,2022
21,Thanksgiving,2.98,2023
22,Shark Tale,2.89,2004
23,Taylor Swift: The Eras Tour,4.30,2023
24,Cloverfield,3.39,2008
25,What's Eating Gilbert Grape,3.81,1993
26,The Wicker Man,3.96,1973
27,The Secret World of Arrietty,3.80,2010
28,C'mon C'mon,4.13,2021
29,The 400 Blows,4.32,1959
30,BEEF,4.23,2023
31,Uptown Girls,3.89,2003
32,Renfield,2.87,2023
33,Kung Fu Panda 4,2.70,2024
34,Death Becomes Her,3.69,1992
35,Twister,3.27,1996
36,Breathless,3.93,1960
37,Happy Together,4.22,1997
38,Rope,4.13,1948
39,Irreversible,3.75,2002
40,Life of Brian,3.98,1979
41,Blue Beetle,2.91,2023
42,Ikiru,4.52,1952
43,A Simple Favor,3.17,2018
44,Fear Street: 1666,3.30,2021
45,Blue Is the Warmest Color,3.26,2013
46,The Karate Kid,3.76,1984
47,The Nun,2.17,2018
48,Insomnia,3.53,2002
49,They Live,3.77,1988
50,127 Hours,3.48,2010
51,The Lost Daughter,3.52,2021
52,Alien³,2.82,1992
53,Me and Earl and the Dying Girl,3.83,2015
54,Fantastic Beasts: The Secrets of Dumbledore,2.54,2022
55,Gran Torino,3.80,2008
56,The Lost Boys,3.65,1987
57,Raising Arizona,3.87,1987
58,Jumanji: The Next Level,2.86,2019
59,Point Break,3.74,1991
60,Drive-Away Dolls,2.85,2024
61,The Aviator,3.74,2004
62,The Bling Ring,2.91,2013
63,Brazil,4.10,1985
64,One Day,3.43,2011
65,Lion,3.89,2016
66,King Richard,3.69,2021
67,Damsel,2.51,2024
68,The Deer Hunter,4.19,1978
69,Heretic,3.44,2024
70,An American Werewolf in London,3.84,1981
71,Miss Peregrine's Home for Peculiar Children,3.12,2016
72,High School Musical 2,3.23,2007
1,Speed,3.68,1994
2,Hustle,3.55,2022
3,Candyman,3.06,2021
4,Rashomon,4.23,1950
5,The Bourne Identity,3.73,2002
6,Lars and the Real Girl,3.81,2007
7,Sing,3.07,2016
8,Sin City,3.68,2005
9,Spree,3.10,2020
10,Rush Hour,3.56,1998
11,Moon,3.86,2009
12,The Visit,3.08,2015
13,Silence,3.97,2016
14,Independence Day,3.33,1996
15,Crimes of the Future,3.29,2022
16,Godzilla: King of the Monsters,2.82,2019
17,Mrs. Doubtfire,3.64,1993
18,Space Jam,3.26,1996
19,Set It Up,3.33,2018
20,I Saw the Devil,4.04,2010
21,Dark Phoenix,2.06,2019
22,Ran,4.51,1985
23,The Haunting of Hill House,4.34,2018
24,Red Notice,2.46,2021
25,A Man Called Otto,3.58,2022
26,Once Upon a Time in the West,4.39,1968
27,Bruce Almighty,3.21,2003
28,Close Encounters of the Third Kind,3.83,1977
29,War Dogs,3.41,2016
30,Natural Born Killers,3.62,1994
31,Mission: Impossible III,3.36,2006
32,The Falcon and the Winter Soldier,3.12,2021
33,Alita: Battle Angel,3.19,2019
34,Maze Runner: The Scorch Trials,2.97,2015
35,The Host,3.77,2006
36,Halloween Kills,2.46,2021
37,Inherent Vice,3.62,2014
38,The Intern,3.29,2015
39,27 Dresses,3.23,2008
40,The Lorax,3.19,2012
41,The Tragedy of Macbeth,3.78,2021
42,Rio,3.33,2011
43,Kung Fu Panda 3,3.27,2016
44,True Grit,3.82,2010
45,Robots,3.28,2005
46,Hell or High Water,3.92,2016
47,Bicycle Thieves,4.30,1948
48,Roman Holiday,4.15,1953
49,Cars 3,3.00,2017
50,Mirror,4.34,1975
51,Skinamarink,2.86,2022
52,Lolita,3.49,1962
53,Army of Darkness,3.71,1992
54,Women Talking,3.78,2022
55,Ghostbusters: Afterlife,3.04,2021
56,See How They Run,3.18,2022
57,Pocahontas,3.23,1995
58,Three Colours: Blue,4.17,1993
59,Blade,3.45,1998
60,Child's Play,3.32,1988
61,Vivarium,2.78,2019
62,American Pie,3.11,1999
63,From Dusk Till Dawn,3.51,1996
64,Taken,3.50,2008
65,Mission: Impossible II,2.64,2000
66,Cléo from 5 to 7,4.19,1962
67,The Crow,3.76,1994
68,Mad Max,3.28,1979
69,Paterson,3.89,2016
70,In Time,2.90,2011
71,The Da Vinci Code,3.12,2006
72,Panic Room,3.51,2002
1,Hustlers,3.30,2019
2,Cape Fear,3.72,1991
3,The Tale of The Princess Kaguya,4.24,2013
4,2 Fast 2 Furious,2.99,2003
5,Fantastic Four,2.50,2005
6,Saint Maud,3.49,2019
7,Terrifier 3,2.95,2024
8,Ferrari,3.19,2023
9,Red Eye,3.12,2005
10,Brother Bear,3.69,2003
11,Blonde,2.06,2022
12,The Wailing,3.98,2016
13,The Meg,2.37,2018
14,A.I. Artificial Intelligence,3.62,2001
15,A Trip to the Moon,3.98,1902
16,Cuckoo,2.98,2024
17,Platoon,3.97,1986
18,The Peanut Butter Falcon,3.84,2019
19,The Lovely Bones,3.33,2009
20,Chicken Little,2.78,2005
21,Pitch Perfect 2,2.95,2015
22,Office Space,3.73,1999
23,The King's Man,2.78,2021
24,Miss Congeniality,3.34,2000
25,Love & Other Drugs,3.18,2010
26,Constantine,3.36,2005
27,The Cabinet of Dr. Caligari,4.07,1920
28,All About My Mother,4.16,1999
29,Mank,3.30,2020
30,The Dreamers,3.57,2003
31,Paranormal Activity,2.88,2007
32,Treasure Planet,3.85,2002
33,The Lost City,2.76,2022
34,Gattaca,3.78,1997
35,All Too Well: The Short Film,4.17,2021
36,Quantum of Solace,2.83,2008
37,Missing,3.48,2023
38,King Kong,3.37,2005
39,La Chimera,4.07,2023
40,Fall,2.57,2022
41,Mary Poppins,3.90,1964
42,You've Got Mail,3.50,1998
43,Belfast,3.49,2021
44,The Fallout,3.51,2021
45,Dune,2.79,1984
46,Maze Runner: The Death Cure,3.12,2018
47,Percy Jackson & the Olympians: The Lightning Thief,2.60,2010
48,Argylle,2.27,2024
49,Amsterdam,2.56,2022
50,Kubo and the Two Strings,3.93,2016
51,Twin Peaks,4.61,1989
52,Halloween Ends,2.12,2022
53,Total Recall,3.82,1990
54,True Romance,3.94,1993
55,Gran Turismo,3.35,2023
56,Vice,3.43,2018
57,Ice Age: The Meltdown,3.09,2006
58,Madagascar: Escape 2 Africa,3.13,2008
59,Primal Fear,3.90,1996
60,Black Mirror: Bandersnatch,3.24,2018
61,Just Go with It,3.07,2011
62,The Room,2.61,2003
63,Candyman,3.65,1992
64,Crash,3.68,1996
65,Antichrist,3.40,2009
66,Cinderella,3.51,1950
67,Dumb and Dumber,3.35,1994
68,The Devil's Advocate,3.55,1997
69,Unforgiven,4.20,1992
70,Wind River,3.83,2017
71,Lamb,3.12,2021
72,Saw III,2.94,2006
1,Three Colours: Red,4.34,1994
2,The Blind Side,3.32,2009
3,Bambi,3.51,1942
4,Blow Out,4.11,1981
5,Tokyo Story,4.44,1953
6,M,4.31,1931
7,Fast Five,3.47,2011
8,Starship Troopers,3.82,1997
9,Murder Mystery,2.69,2019
10,The Ritual,3.18,2017
11,National Treasure,3.29,2004
12,Only Lovers Left Alive,3.81,2013
13,Creed II,3.53,2018
14,Gone with the Wind,3.85,1939
15,Stop Making Sense,4.68,1984
16,The Princess Diaries 2: Royal Engagement,3.44,2004
17,Practical Magic,3.52,1998
18,The Conversation,4.17,1974
19,Troy,3.36,2004
20,Erin Brockovich,3.84,2000
21,Dogville,4.16,2003
22,Searching,3.72,2018
23,Tangerine,3.87,2015
24,Furious 7,3.26,2015
25,TRON: Legacy,3.17,2010
26,Hairspray,3.48,2007
27,No One Will Save You,3.04,2023
28,A Fistful of Dollars,3.95,1964
29,The Nun II,2.34,2023
30,Let the Right One In,4.05,2008
31,The Night of the Hunter,4.26,1955
32,Charlie's Angels,3.12,2000
33,War of the Worlds,3.30,2005
34,West Side Story,3.83,1961
35,"Crouching Tiger, Hidden Dragon",4.05,2000
36,Cruel Intentions,3.26,1999
37,Possessor,3.58,2020
38,Bad Times at the El Royale,3.47,2018
39,Captain Phillips,3.75,2013
40,Fifty Shades of Grey,1.77,2015
41,The Hunchback of Notre Dame,3.69,1996
42,Dinner in America,3.93,2020
43,Logan Lucky,3.55,2017
44,Cinderella,3.20,2015
45,Ghost World,3.60,2001
46,Contagion,3.37,2011
47,White Noise,2.99,2022
48,The Autopsy of Jane Doe,3.20,2016
49,Dancer in the Dark,4.19,2000
50,The Jungle Book,3.19,2016
51,Rush,3.81,2013
52,My Cousin Vinny,3.90,1992
53,Women on the Verge of a Nervous Breakdown,4.09,1988
54,Fast X,2.47,2023
55,The Guardians of the Galaxy Holiday Special,3.26,2022
56,Fantasia,3.90,1940
57,The Man from U.N.C.L.E.,3.46,2015
58,Pinocchio,3.48,1940
59,Sleeping Beauty,3.51,1959
60,The Outsiders,3.61,1983
61,The Adventures of Tintin,3.60,2011
62,Columbus,3.97,2017
63,The Kissing Booth,1.62,2018
64,Anastasia,3.82,1997
65,The Founder,3.40,2016
66,Atlantis: The Lost Empire,3.70,2001
67,Martyrs,3.65,2008
68,Pineapple Express,3.31,2008
69,Run,3.16,2020
70,Happy Feet,2.96,2006
71,High and Low,4.59,1963
72,Atomic Blonde,3.28,2017
1,Brooklyn,3.78,2015
2,Enola Holmes 2,3.26,2022
3,Vanilla Sky,3.44,2001
4,Network,4.27,1976
5,Frankenweenie,3.44,2012
6,The Untouchables,3.83,1987
7,Venom: The Last Dance,2.56,2024
8,The Umbrellas of Cherbourg,4.14,1964
9,Fallen Leaves,3.79,2023
10,Limitless,3.32,2011
11,Upgrade,3.65,2018
12,One Hundred and One Dalmatians,3.66,1961
13,Straight Outta Compton,3.79,2015
14,Scent of a Woman,3.88,1992
15,Little Shop of Horrors,3.85,1986
16,Hawkeye,3.33,2021
17,Meet the Robinsons,3.51,2007
18,Over the Hedge,3.26,2006
19,Men in Black II,2.97,2002
20,The Red Shoes,4.40,1948
21,Face/Off,3.54,1997
22,Billy Elliot,4.04,2000
23,Cha Cha Real Smooth,3.83,2022
24,Bottle Rocket,3.53,1996
25,The Big Sick,3.76,2017
26,Lady Vengeance,4.04,2005
27,The Babysitter,2.73,2017
28,The Thin Red Line,4.08,1998
29,Surf's Up,3.62,2007
30,Neighbors,2.89,2014
31,Nerve,2.93,2016
32,Super 8,3.49,2011
33,"Hail, Caesar!",3.26,2016
34,2012,2.47,2009
35,Dìdi (弟弟),4.05,2024
36,Austin Powers: International Man of Mystery,3.41,1997
37,The Village,3.32,2004
38,Alvin and the Chipmunks,2.63,2007
39,The Day After Tomorrow,2.94,2004
40,Violent Night,3.03,2022
41,It Comes at Night,3.17,2017
42,Shame,3.79,2011
43,Daisies,4.01,1966
44,The Strangers,2.94,2008
45,"Salò, or the 120 Days of Sodom",3.13,1975
46,17 Again,2.80,2009
47,Double Indemnity,4.26,1944
48,Happy Gilmore,3.39,1996
49,Red Rocket,3.86,2021
50,Three Thousand Years of Longing,3.38,2022
51,The Raid,4.02,2011
52,To Kill a Mockingbird,4.09,1962
53,Wings of Desire,4.31,1987
54,Jurassic Park III,2.78,2001
55,"I, Robot",3.15,2004
56,Modern Times,4.27,1936
57,BlackBerry,3.76,2023
58,Hannibal,3.23,2001
59,A Woman Under the Influence,4.40,1974
60,After Yang,3.85,2021
61,High Fidelity,3.62,2000
62,Speak No Evil,3.34,2022
63,In the Heights,3.49,2021
64,Star Trek,3.63,2009
65,Midnight Cowboy,4.14,1969
66,Ocean's Thirteen,3.36,2007
67,The Hurt Locker,3.75,2008
68,When Marnie Was There,3.85,2014
69,Hook,3.41,1991
70,The Spectacular Now,3.20,2013
71,Basic Instinct,3.61,1992
72,The Death of Stalin,3.78,2017
1,Eyes Without a Face,3.93,1960
2,Sixteen Candles,3.01,1984
3,Sonic the Hedgehog 2,3.07,2022
4,Wild at Heart,3.85,1990
5,Escape from New York,3.64,1981
6,Men in Black 3,3.11,2012
7,Annabelle,2.42,2014
8,The King of Staten Island,3.44,2020
9,Love and Monsters,3.21,2020
10,Boyz n the Hood,4.04,1991
11,Puss in Boots,3.15,2011
12,Kids,3.46,1995
13,50/50,3.59,2011
14,Forgetting Sarah Marshall,3.31,2008
15,Taste of Cherry,4.31,1997
16,Badlands,4.03,1973
17,A Girl Walks Home Alone at Night,3.77,2014
18,I Know What You Did Last Summer,2.93,1997
19,They Cloned Tyrone,3.66,2023
20,A Brighter Summer Day,4.50,1991
21,Sleepless in Seattle,3.45,1993
22,The Other Guys,3.24,2010
23,Shazam! Fury of the Gods,2.39,2023
24,Days of Heaven,4.11,1978
25,Mean Streets,3.71,1973
26,Le Samouraï,4.24,1967
27,A Cinderella Story,3.23,2004
28,The Holy Mountain,4.15,1973
29,Bumblebee,3.17,2018
30,The Dictator,2.88,2012
31,Happiest Season,3.13,2020
32,La Dolce Vita,4.28,1960
33,The Beekeeper,2.71,2024
34,High School Musical 3: Senior Year,3.15,2008
35,Robot Dreams,4.06,2023
36,Rise of the Guardians,3.52,2012
37,Sherlock Holmes: A Game of Shadows,3.31,2011
38,Peter Pan,3.51,1953
39,The Watchers,2.42,2024
40,The House,3.55,2022
41,Sunshine,3.70,2007
42,The Jungle Book,3.67,1967
43,Palo Alto,3.10,2013
44,Malcolm & Marie,3.04,2021
45,A Serious Man,3.88,2009
46,At Eternity's Gate,3.75,2018
47,American Gangster,3.86,2007
48,The Blues Brothers,3.98,1980
49,Elephant,3.54,2003
50,Tokyo Godfathers,4.22,2003
51,Moonstruck,3.78,1987
52,The Karate Kid,3.00,2010
53,Werewolf by Night,3.48,2022
54,The Hangover Part III,2.62,2013
55,Source Code,3.47,2011
56,Run Lola Run,3.84,1998
57,A Few Good Men,3.99,1992
58,"Lock, Stock and Two Smoking Barrels",3.98,1998
59,Meet the Parents,3.30,2000
60,Gerald's Game,3.11,2017
61,National Lampoon's Christmas Vacation,3.52,1989
62,Mad Max 2,3.89,1981
63,The Beguiled,3.34,2017
64,Despicable Me 3,2.57,2017
65,Big,3.59,1988
66,Seven Psychopaths,3.66,2012
67,Persepolis,4.18,2007
68,Transformers: Revenge of the Fallen,2.46,2009
69,Army of the Dead,2.50,2021
70,Rebel Without a Cause,3.83,1955
71,Liar Liar,3.30,1997
72,Dark Shadows,2.72,2012
1,The Half of It,3.24,2020
2,Ace Ventura: Pet Detective,3.19,1994
3,Five Feet Apart,3.21,2019
4,My Best Friend's Wedding,3.19,1997
5,High Life,3.23,2018
6,Flushed Away,3.16,2006
7,How to Have Sex,3.61,2023
8,Begin Again,3.54,2013
9,Ice Age: Dawn of the Dinosaurs,3.14,2009
10,Batman & Robin,1.87,1997
11,The Post,3.46,2017
12,Thoroughbreds,3.54,2017
13,Transformers: Rise of the Beasts,2.66,2023
14,It's Such a Beautiful Day,4.38,2012
15,The Good Dinosaur,2.87,2015
16,Amores Perros,4.16,2000
17,I'm Still Here,4.37,2024
18,Steve Jobs,3.63,2015
19,Ghostbusters: Frozen Empire,2.59,2024
20,Honey Boy,3.82,2019
21,Life,3.03,2017
22,Yes Man,3.10,2008
23,Alien Resurrection,2.57,1997
24,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",4.26,1975
25,Paris Is Burning,4.50,1990
26,The Age of Adaline,3.24,2015
27,Lady and the Tramp,3.54,1955
28,Popstar: Never Stop Never Stopping,3.60,2016
29,The Invitation,3.31,2015
30,The Croods,3.06,2013
31,Dumb Money,3.26,2023
32,Cold War,4.04,2018
33,Meet Joe Black,3.39,1998
34,Spy Kids,2.96,2001
35,Molly's Game,3.56,2017
36,Grown Ups 2,2.62,2013
37,The Secret Life of Pets,2.79,2016
38,Batman Forever,2.49,1995
39,Trick 'r Treat,3.43,2007
40,Petite Maman,4.10,2021
41,DodgeBall: A True Underdog Story,3.20,2004
42,My Life as a Zucchini,4.17,2016
43,Freaky,3.10,2020
44,Blood Diamond,3.69,2006
45,She's All That,2.89,1999
46,Flipped,3.70,2010
47,F9,2.36,2021
48,If Beale Street Could Talk,3.93,2018
49,Inland Empire,3.85,2006
50,Thief,4.08,1981
51,Ghostbusters,2.31,2016
52,The Equalizer,3.38,2014
53,Hellboy,3.41,2004
54,Close-Up,4.42,1990
55,Bring It On,3.35,2000
56,Mother,4.17,2009
57,Dawn of the Dead,3.97,1978
58,Gummo,3.64,1997
59,Wild Strawberries,4.34,1957
60,Fast & Furious 6,3.07,2013
61,The Town,3.65,2010
62,The Third Man,4.26,1949
63,The Impossible,3.60,2012
64,Aquaman and the Lost Kingdom,2.19,2023
65,Bound,3.99,1996
66,Twin Peaks: The Return,4.60,2017
67,Look Back,4.34,2024
68,Frankenstein,3.82,1931
69,Mars Attacks!,3.23,1996
70,Jerry Maguire,3.59,1996
71,First Blood,3.82,1982
72,City Lights,4.34,1931
1,The Assassination of Jesse James by the Coward Robert Ford,4.03,2007
2,The Aristocats,3.66,1970
3,Black Christmas,3.83,1974
4,A History of Violence,3.76,2005
5,Fast & Furious,2.87,2009
6,Diary of a Wimpy Kid,3.18,2010
7,The Passion of Joan of Arc,4.43,1928
8,The Basketball Diaries,3.72,1995
9,Gifted,3.65,2017
10,Jackass Forever,3.56,2022
11,Lemony Snicket's A Series of Unfortunate Events,3.28,2004
12,Horrible Bosses,3.08,2011
13,Jackie,3.54,2016
14,Holes,3.52,2003
15,The Muppet Christmas Carol,3.95,1992
16,Wild Tales,4.13,2014
17,Bill & Ted's Excellent Adventure,3.65,1989
18,Saturday Night,3.57,2024
19,Planet of the Apes,4.00,1968
20,The Last Black Man in San Francisco,4.07,2019
21,Clerks,3.82,1994
22,Lincoln,3.56,2012
